,Unnamed: 0,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
0,0,2010-07-20,"Jersey City, NJ",Sin tiempo de respuesta promedio,96.1,100.0,f,Sin información del vecindario,4,t,f,Private room in condo,Private room,2,1.0,1.0,1.0,150.0,5,365,5,5,365,365,5.0,365.0,t,23,53,83,83,2025-03-18,22,5,0,83,5,50,7500.0,2010-09-23,2024-11-01,4.95,4.95,4.95,5.0,4.86,4.9,4.95,f,0.12
1,1,2011-07-20,"Jersey City, NJ",within an hour,100.0,98.0,t,Sin información del vecindario,4,t,t,Entire home,Entire home/apt,4,1.0,1.0,2.0,182.0,3,1000,3,4,1000,1000,3.9,1000.0,t,23,50,67,317,2025-03-18,207,29,0,241,28,255,46410.0,2011-09-13,2025-01-02,4.81,4.79,4.91,4.87,4.89,4.38,4.8,f,1.26
2,2,2011-07-20,"Jersey City, NJ",within an hour,100.0,98.0,t,Sin información del vecindario,4,t,t,Entire home,Entire home/apt,3,1.0,1.0,1.0,161.0,3,365,3,4,365,365,3.9,365.0,t,29,55,80,348,2025-03-18,149,19,0,272,19,175,28175.0,2011-11-21,2025-01-03,4.76,4.78,4.9,4.91,4.85,4.4,4.74,f,0.92
3,3,2011-11-15,"Jersey City, NJ",within an hour,100.0,99.0,f,Bergen-Lafayette,19,t,t,Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,123.0,2,365,2,7,1125,1125,3.5,1125.0,t,15,23,35,296,2025-03-18,472,41,0,220,40,255,31365.0,2011-11-25,2025-02-04,4.38,4.64,4.55,4.72,4.67,3.89,4.46,t,2.91
4,4,2011-11-15,"Jersey City, NJ",within an hour,100.0,99.0,f,Bergen-Lafayette,19,t,t,Private room in townhouse,Private room,5,1.0,1.0,3.0,95.0,2,365,2,7,1125,1125,3.3,1125.0,t,8,12,19,184,2025-03-18,392,25,1,112,29,230,21850.0,2012-04-16,2025-03-03,4.45,4.6,4.69,4.7,4.62,3.89,4.43,t,2.49
5,5,2012-04-30,"Jersey City, NJ",within an hour,94.0,100.0,f,Sin información del vecindario,3,t,t,Private room in townhouse,Private room,2,1.0,1.0,1.0,94.0,3,9,2,3,1125,1125,3.0,1125.0,t,8,10,19,19,2025-03-18,423,29,2,19,29,255,23970.0,2012-09-17,2025-03-10,4.77,4.85,4.69,4.96,4.94,4.83,4.76,f,2.78
6,6,2012-09-10,"Detroit, MI",within a day,100.0,80.0,t,Sin información del vecindario,10,t,t,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,97.0,28,366,28,28,366,366,28.0,366.0,t,0,0,0,76,2025-03-18,8,2,0,0,2,112,10864.0,2019-03-30,2024-12-19,4.88,4.88,4.88,4.75,5.0,4.63,4.63,f,0.11
7,7,2012-12-01,"Jersey City, NJ",within a few hours,100.0,80.0,t,Sin información del vecindario,1,t,t,Entire guest suite,Entire home/apt,3,1.0,2.0,2.0,116.0,3,180,1,3,180,180,3.0,180.0,t,5,11,14,125,2025-03-18,208,33,2,51,30,255,29580.0,2013-02-10,2025-02-23,4.95,4.97,4.97,4.99,4.97,4.69,4.93,f,1.41
8,8,2011-11-28,"New York, NY",within a few hours,100.0,86.0,f,Sin información del vecindario,8,t,t,Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,98.0,29,1125,29,29,1125,1125,29.0,1125.0,t,0,27,57,332,2025-03-18,21,1,0,256,1,58,5684.0,2016-07-29,2024-06-30,4.71,4.76,4.48,4.81,4.95,4.9,4.48,f,0.2
9,9,2011-11-28,"New York, NY",within a few hours,100.0,86.0,f,Sin información del vecindario,8,t,t,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,76.0,29,1125,28,29,1125,1125,28.9,1125.0,t,2,2,15,51,2025-03-18,25,2,0,51,2,116,8816.0,2016-09-25,2024-12-23,4.84,4.76,4.76,4.96,4.92,4.84,4.83,f,0.24
10,10,2012-12-04,"Jersey City, NJ",within an hour,100.0,100.0,t,Sin información del vecindario,2,t,t,Entire rental unit,Entire home/apt,3,50,1.0,50,151.9,5,20,3,5,20,20,4.9,20.0,t,1,9,14,106,2025-03-19,358,33,3,106,31,255,500000,2013-03-21,2025-03-11,4.77,4.86,4.71,4.91,4.9,4.85,4.8,f,2.45
11,11,2013-06-16,"New York, NY",Sin tiempo de respuesta promedio,96.1,0.0,f,Sin información del vecindario,1,t,t,Entire rental unit,Entire home/apt,3,2.0,2.0,2.0,135.0,60,365,60,60,365,365,60.0,365.0,t,0,27,49,180,2025-03-18,145,0,0,104,0,0,0.0,2013-07-02,2019-09-13,4.78,4.9,4.86,4.87,4.87,4.9,4.78,f,1.02
12,12,2011-11-15,"Jersey City, NJ",within an hour,100.0,99.0,f,Bergen-Lafayette,19,t,t,Private room in townhouse,Private room,2,50,50,50,151.9,2,1125,2,7,1125,1125,3.0,1125.0,t,17,38,55,286,2025-03-19,321,24,0,212,26,221,500000,2013-06-25,2025-02-09,4.44,4.67,4.68,4.73,4.67,3.9,4.47,t,2.25
13,13,2018-05-11,"Jersey City, NJ",Sin tiempo de respuesta promedio,96.1,90.0,f,Sin información del vecindario,36,t,t,Private room in townhouse,Private room,1,2.0,1.0,1.0,65.0,30,1125,15,15,1125,1125,15.0,1125.0,t,16,46,76,351,2025-03-18,74,1,0,275,1,60,3900.0,2013-07-08,2024-10-31,4.65,4.65,4.69,4.89,4.82,4.29,4.42,f,0.52
14,14,2013-10-14,"New York, NY",within an hour,74.0,99.0,f,Cambridge,1256,t,t,Entire serviced apartment,Entire home/apt,3,50,1.0,50,151.9,28,1125,28,28,1125,1125,28.0,1125.0,t,14,44,74,348,2025-03-19,20,0,0,272,0,0,500000,2014-06-07,2018-08-26,4.6,4.65,4.75,4.8,4.6,4.9,4.4,t,0.15
15,15,2013-10-14,"New York, NY",within an hour,74.0,99.0,f,Cambridge,1256,t,t,Entire serviced apartment,Entire home/apt,5,50,2.0,50,151.9,28,1125,28,28,1125,1125,28.0,1125.0,t,8,11,18,292,2025-03-19,7,0,0,216,0,0,500000,2015-10-01,2017-09-02,4.43,4.43,4.43,4.57,4.57,5.0,4.71,t,0.06
16,16,2014-01-02,"Jersey City, NJ",within a day,100.0,33.0,f,Sin información del vecindario,1,t,t,Entire rental unit,Entire home/apt,3,1.0,0.0,1.0,148.0,28,1125,28,28,1125,1125,28.0,1125.0,t,23,53,83,358,2025-03-18,30,0,0,282,0,0,0.0,2017-01-02,2023-11-08,4.77,4.87,4.7,4.97,4.77,4.77,4.73,f,0.3
